dropoffTaxiZone,pickupTaxiZone,vendorID,pickupTime,dropoffTime,passengerCount,tripDistance,paymentType,fareAmount,extraFees,mtaTax,tipAmount,tollAmount,improvementSurcharge,totalAmount,congestionSurcharge,tipPercentage,pickupTimeChunk,dropoffTimeChunk,percentagePopulationAbove65_Pickup,percentagePopulationInPoverty_Pickup,percentageHispanic_Pickup,percentageWhite_Pickup,percentageAfricanAmerican_Pickup,percentageAsian_Pickup,percentageOther_Pickup,percentagePopulationAbove65_Dropoff,percentagePopulationInPoverty_Dropoff,percentageHispanic_Dropoff,percentageWhite_Dropoff,percentageAfricanAmerican_Dropoff,percentageAsian_Dropoff,percentageOther_Dropoff,tipQuality
263,141,2,1/15/2021 0:13,1/15/2021 0:16,1,1.09,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,17.3,8.7,10.7,75,2.5,9.4,2.4,0
164,170,1,1/15/2021 0:12,1/15/2021 0:16,1,0.9,1,5,3,0.5,5,0,0.3,13.8,2.5,0.568181818,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,14.4,15.1,9.8,61.5,4.5,20.8,3.3,1
231,249,2,1/15/2021 3:22,1/15/2021 3:26,1,1.01,1,5,0.5,0.5,2,0,0.3,10.8,2.5,0.227272727,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,16.4,8.4,6,80,2.1,8.5,3.4,13.3,14.4,6.3,66.2,2.2,21.5,3.8,1
88,75,2,1/15/2021 0:07,1/15/2021 0:23,1,8.06,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.1,28.4,44,19.7,23.4,11.1,1.8,7,17,7.4,66.5,2.4,19.9,3.9,1
42,39,2,1/15/2021 3:16,1/15/2021 4:00,2,20.74,1,57.5,0.5,0.5,2.75,6.12,0.3,67.67,0,0.042359827,12:00 AM - 3:59 AM,4:00 AM - 7:59 AM,13.2,11.7,7.1,4.7,83.7,2.9,1.6,10.6,26.3,25.8,10.1,58.7,2.1,3.3,0
137,137,2,1/15/2021 0:12,1/15/2021 0:21,1,3.07,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,15.5,13.6,9.2,62.5,4.6,19.8,3.9,0
162,100,2,1/15/2021 0:11,1/15/2021 0:18,4,1.83,1,7.5,0.5,0.5,1.88,0,0.3,13.18,2.5,0.166371681,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,25,5.2,4.9,75.1,1.4,16.2,2.5,0
233,162,2,1/15/2021 1:03,1/15/2021 1:07,1,1.21,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5,0.25,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,25,5.2,4.9,75.1,1.4,16.2,2.5,1
237,107,2,1/15/2021 0:06,1/15/2021 0:12,1,2.73,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,12.2,6.7,7.7,70.6,3.9,15.4,2.5,30.7,4.3,6.7,83.3,0.7,6.5,2.7,1
237,237,2,1/15/2021 1:19,1/15/2021 1:21,1,0.3,1,3.5,0.5,0.5,2.19,0,0.3,9.49,2.5,0.3,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,30.7,4.3,6.7,83.3,0.7,6.5,2.7,1
229,161,2,1/15/2021 0:10,1/15/2021 0:14,1,0.81,1,5,0.5,0.5,2.64,0,0.3,11.44,2.5,0.3,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,25,5.2,4.9,75.1,1.4,16.2,2.5,1
163,79,1,1/15/2021 1:51,1/15/2021 2:01,1,3.1,1,11,3,0.5,2.95,0,0.3,17.75,2.5,0.199324324,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,10.7,17.4,12.4,64.9,6.7,13.7,2.3,14.4,15.1,9.8,61.5,4.5,20.8,3.3,0
95,263,1,1/15/2021 3:23,1/15/2021 3:45,1,10.3,1,29.5,3,0.5,8.3,0,0.3,41.6,2.5,0.249249249,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.3,8.7,10.7,75,2.5,9.4,2.4,20,13.8,15.8,49.9,2.4,27.5,4.4,1
200,44,2,1/15/2021 0:46,1/15/2021 1:31,1,40.6,1,106,0.5,0.5,2.75,21,0.3,131.05,0,0.021434139,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,11.4,8.4,9.8,85.5,0.9,3.3,0.6,25.6,9.8,21.6,61.8,8.9,5.1,2.6,0
127,142,1,1/15/2021 0:44,1/15/2021 0:57,2,8.7,1,25,3,0.5,5.75,0,0.3,34.55,2.5,0.199652778,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,21.1,8.4,10.4,69.4,4.2,13,3,13.3,24.8,71.5,16.8,7.4,2.6,1.8,0
238,88,2,1/15/2021 0:29,1/15/2021 0:55,1,7.17,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,7,17,7.4,66.5,2.4,19.9,3.9,20.3,11.7,16.6,67.3,5.9,7.3,2.8,1
76,42,2,1/15/2021 2:17,1/15/2021 2:53,2,21.76,1,59,0.5,0.5,2.75,6.12,0.3,69.17,0,0.041403192,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,10.6,26.3,25.8,10.1,58.7,2.1,3.3,10.7,25.3,28.9,1.9,64.8,2.4,1.9,0
238,162,1,1/15/2021 1:04,1/15/2021 1:15,1,3.4,1,12,3,0.5,0,0,0.3,15.8,2.5,0,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,20.3,11.7,16.6,67.3,5.9,7.3,2.8,0
161,90,2,1/15/2021 2:07,1/15/2021 2:11,1,1.4,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,14.4,15.1,9.8,61.5,4.5,20.8,3.3,0
239,239,2,1/15/2021 0:14,1/15/2021 0:19,5,0.85,1,5.5,0.5,0.5,2.2,0,0.3,11.5,2.5,0.23655914,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,20.3,11.7,16.6,67.3,5.9,7.3,2.8,20.3,11.7,16.6,67.3,5.9,7.3,2.8,1
226,68,2,1/15/2021 3:40,1/15/2021 3:53,1,5.15,1,16.5,0.5,0.5,5.08,0,0.3,25.38,2.5,0.250246305,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,9.9,10,31.9,38.5,2.2,24.5,3,1
146,163,2,1/15/2021 0:26,1/15/2021 0:34,1,2.86,1,10,0.5,0.5,3,0,0.3,16.8,2.5,0.217391304,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,11.4,36.2,34.5,15.5,25,21,4,1
170,231,1,1/15/2021 0:38,1/15/2021 0:51,1,4.9,1,16.5,3,0.5,2.7,0,0.3,23,2.5,0.133004926,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.3,14.4,6.3,66.2,2.2,21.5,3.8,15.5,13.6,9.2,62.5,4.6,19.8,3.9,0
188,249,1,1/15/2021 0:47,1/15/2021 1:16,1,7.9,1,26.5,3,0.5,2,0,0.3,32.3,2.5,0.066006601,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,16.4,8.4,6,80,2.1,8.5,3.4,14.7,21.3,9.6,17,68.4,2.3,2.7,0
116,90,2,1/15/2021 1:03,1/15/2021 1:23,1,7.87,1,24,0.5,0.5,5.56,0,0.3,33.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,10.6,26.1,48.3,18.2,25.8,3.4,4.2,0
140,79,1,1/15/2021 1:30,1/15/2021 1:41,1,4.3,1,13.5,3,0.5,3.45,0,0.3,20.75,2.5,0.199421965,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,10.7,17.4,12.4,64.9,6.7,13.7,2.3,17.5,5.8,10.7,70,3.2,13.5,2.6,0
238,161,1,1/15/2021 0:53,1/15/2021 1:03,1,2.6,1,10.5,3,0.5,2,0,0.3,16.3,2.5,0.13986014,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,20.3,11.7,16.6,67.3,5.9,7.3,2.8,0
261,100,2,1/15/2021 3:24,1/15/2021 3:37,1,4.5,1,14.5,0.5,0.5,1,0,0.3,19.3,2.5,0.054644809,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,7,17,7.4,66.5,2.4,19.9,3.9,0
74,237,1,1/15/2021 1:23,1/15/2021 1:32,1,3.2,1,11,3,0.5,0,0,0.3,14.8,2.5,0,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,12,39.5,47.7,7.8,37.5,4.5,2.4,0
79,137,1,1/15/2021 1:32,1/15/2021 1:36,1,1.1,1,5.5,3.5,0.5,1.95,0,0.3,11.75,2.5,0.198979592,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,10.7,17.4,12.4,64.9,6.7,13.7,2.3,0
170,148,2,1/15/2021 3:24,1/15/2021 3:35,1,2.81,1,10.5,0.5,0.5,2.86,0,0.3,17.16,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,21.9,38.8,15.2,18.3,5.3,57.7,3.4,15.5,13.6,9.2,62.5,4.6,19.8,3.9,0
90,166,2,1/15/2021 0:58,1/15/2021 1:14,1,5.4,1,17,0.5,0.5,4.16,0,0.3,24.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.7,17,23.2,44.4,13.8,15.5,3.1,13.2,11.7,13.9,62.4,5.3,15.6,2.7,1
237,70,2,1/15/2021 0:01,1/15/2021 0:24,1,13.12,1,36.5,0.5,0.5,9.28,6.12,0.3,55.7,2.5,0.19991383,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.3,17.3,60.7,5.3,21.6,11.1,1.3,30.7,4.3,6.7,83.3,0.7,6.5,2.7,0
107,90,1,1/15/2021 0:40,1/15/2021 0:44,1,0.8,1,5,3,0.5,1.2,0,0.3,10,2.5,0.136363636,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,12.2,6.7,7.7,70.6,3.9,15.4,2.5,0
16,200,2,1/15/2021 1:31,1/15/2021 1:57,1,19.18,1,52.5,0.5,0.5,2.75,6.12,0.3,62.67,0,0.045894526,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25.6,9.8,21.6,61.8,8.9,5.1,2.6,20.2,8.1,11.5,39.7,2.4,45.1,1.3,0
238,236,2,1/15/2021 1:08,1/15/2021 1:15,2,1.65,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,20.3,11.7,16.6,67.3,5.9,7.3,2.8,0
148,125,2,1/15/2021 1:18,1/15/2021 1:27,5,1.17,1,7.5,0.5,0.5,2.26,0,0.3,13.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.3,14.4,6.3,66.2,2.2,21.5,3.8,21.9,38.8,15.2,18.3,5.3,57.7,3.4,0
37,246,2,1/15/2021 0:06,1/15/2021 0:49,1,7.92,1,28,0.5,0.5,0,0,0.3,31.8,2.5,0,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,10.6,39.8,50,18.8,24.9,4.1,2.2,0
74,247,2,1/15/2021 0:48,1/15/2021 0:56,1,1.78,1,8.5,0.5,0.5,2,0,0.3,11.8,0,0.204081633,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,7.9,38.2,71.2,2,22.1,2.1,2.5,12,39.5,47.7,7.8,37.5,4.5,2.4,1
129,237,1,1/15/2021 0:58,1/15/2021 1:21,1,5.9,1,21,3,0.5,6.2,0,0.3,31,2.5,0.25,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,15.6,17.2,56,16.6,2.6,22.9,1.9,1
137,233,2,1/15/2021 0:40,1/15/2021 0:44,6,1.22,1,5.5,0.5,0.5,1.2,0,0.3,10.5,2.5,0.129032258,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,15.5,13.6,9.2,62.5,4.6,19.8,3.9,0
238,75,2,1/15/2021 1:00,1/15/2021 1:05,1,1.4,1,6.5,0.5,0.5,2.2,0,0.3,10,0,0.282051282,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.1,28.4,44,19.7,23.4,11.1,1.8,20.3,11.7,16.6,67.3,5.9,7.3,2.8,1
24,239,2,1/15/2021 0:04,1/15/2021 0:09,1,1.58,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,20.3,11.7,16.6,67.3,5.9,7.3,2.8,14.7,17,23.2,44.4,13.8,15.5,3.1,1
7,146,1,1/15/2021 0:36,1/15/2021 0:38,1,0.7,1,4,0.5,0.5,2,0,0.3,7.3,0,0.377358491,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,11.4,36.2,34.5,15.5,25,21,4,13,16.7,26.4,50.3,3.6,16.7,3,1
113,158,1,1/15/2021 1:07,1/15/2021 1:15,1,1.3,1,7,3.5,0.5,2.25,0,0.3,13.55,2.5,0.199115044,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,16.4,8.4,6,80,2.1,8.5,3.4,16.4,8.4,6,80,2.1,8.5,3.4,0
202,141,2,1/15/2021 3:00,1/15/2021 3:11,3,3.79,1,13,0.5,0.5,4.2,0,0.3,21,2.5,0.25,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,17.5,5.8,10.7,70,3.2,13.5,2.6,1
90,125,2,1/15/2021 1:39,1/15/2021 1:42,1,1.27,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.3,14.4,6.3,66.2,2.2,21.5,3.8,13.2,11.7,13.9,62.4,5.3,15.6,2.7,0
236,229,2,1/15/2021 0:03,1/15/2021 0:11,1,2.52,1,9.5,0.5,0.5,3.32,0,0.3,16.62,2.5,0.24962406,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,30.7,4.3,6.7,83.3,0.7,6.5,2.7,1
142,239,1,1/15/2021 0:41,1/15/2021 0:44,1,0.8,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5,0.198795181,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,20.3,11.7,16.6,67.3,5.9,7.3,2.8,21.1,8.4,10.4,69.4,4.2,13,3,0
163,162,2,1/15/2021 0:47,1/15/2021 0:51,1,0.59,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,14.4,15.1,9.8,61.5,4.5,20.8,3.3,0
229,238,2,1/15/2021 0:16,1/15/2021 0:30,1,3.5,1,13,0.5,0.5,3,0,0.3,19.8,2.5,0.178571429,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,20.3,11.7,16.6,67.3,5.9,7.3,2.8,25,5.2,4.9,75.1,1.4,16.2,2.5,0
239,238,2,1/15/2021 1:55,1/15/2021 2:01,1,1.14,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,20.3,11.7,16.6,67.3,5.9,7.3,2.8,20.3,11.7,16.6,67.3,5.9,7.3,2.8,1
233,170,2,1/15/2021 0:50,1/15/2021 0:55,2,0.6,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,25,5.2,4.9,75.1,1.4,16.2,2.5,0
255,137,2,1/15/2021 1:49,1/15/2021 2:01,1,5.1,1,16.5,0.5,0.5,5.08,0,0.3,25.38,2.5,0.250246305,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,7.4,32.5,32.5,54.3,3,7,3.2,1
74,75,2,1/15/2021 0:27,1/15/2021 0:32,1,1.04,1,5.5,0.5,0.5,1.36,0,0.3,8.16,0,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.1,28.4,44,19.7,23.4,11.1,1.8,12,39.5,47.7,7.8,37.5,4.5,2.4,1
256,148,2,1/15/2021 1:23,1/15/2021 1:29,1,2.31,1,9,0.5,0.5,1,0,0.3,13.8,2.5,0.078125,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,21.9,38.8,15.2,18.3,5.3,57.7,3.4,7.4,32.5,32.5,54.3,3,7,3.2,0
234,68,2,1/15/2021 0:01,1/15/2021 0:09,6,1.26,1,6.5,0.5,0.5,2.58,0,0.3,12.88,2.5,0.250485437,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,13.2,11.7,13.9,62.4,5.3,15.6,2.7,1
50,113,2,1/15/2021 0:45,1/15/2021 0:54,1,2.56,1,10,0.5,0.5,1,0,0.3,14.8,2.5,0.072463768,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,16.4,8.4,6,80,2.1,8.5,3.4,13.3,22,21.1,52.8,5.5,17.5,3.2,0
79,68,2,1/15/2021 0:11,1/15/2021 0:19,1,1.95,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5,0.250406504,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,10.7,17.4,12.4,64.9,6.7,13.7,2.3,1
141,140,1,1/15/2021 2:35,1/15/2021 2:37,1,0.4,1,3.5,3,0.5,1.45,0,0.3,8.75,2.5,0.198630137,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,17.5,5.8,10.7,70,3.2,13.5,2.6,0
162,100,2,1/15/2021 1:04,1/15/2021 1:09,1,0.97,1,6,0.5,0.5,2.45,0,0.3,12.25,2.5,0.25,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,25,5.2,4.9,75.1,1.4,16.2,2.5,1
263,140,2,1/15/2021 0:00,1/15/2021 0:03,6,1.22,1,5.5,0.5,0.5,1.86,0,0.3,11.16,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,17.3,8.7,10.7,75,2.5,9.4,2.4,0
119,170,2,1/15/2021 0:50,1/15/2021 1:06,2,9.25,1,26.5,0.5,0.5,6.06,0,0.3,36.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,15.5,13.6,9.2,62.5,4.6,19.8,3.9,8.5,40.6,64.3,2.5,32.1,0.5,0.7,0
263,209,1,1/15/2021 0:00,1/15/2021 0:15,1,7.2,1,21.5,3,0.5,5.05,0,0.3,30.35,2.5,0.199604743,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,7,17,7.4,66.5,2.4,19.9,3.9,17.3,8.7,10.7,75,2.5,9.4,2.4,0
234,233,2,1/15/2021 0:16,1/15/2021 0:20,1,1.39,1,5.5,0.5,0.5,2.32,0,0.3,11.62,2.5,0.249462366,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,25,5.2,4.9,75.1,1.4,16.2,2.5,13.2,11.7,13.9,62.4,5.3,15.6,2.7,1
143,142,2,1/15/2021 0:31,1/15/2021 0:36,1,0.62,1,5.5,0.5,0.5,0,0,0.3,9.3,2.5,0,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,21.1,8.4,10.4,69.4,4.2,13,3,21.1,8.4,10.4,69.4,4.2,13,3,0
248,48,2,1/15/2021 1:47,1/15/2021 2:02,1,11.08,1,30.5,0.5,0.5,6.86,0,0.3,41.16,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.3,22,21.1,52.8,5.5,17.5,3.2,11.3,21.3,65.8,2.7,26.6,2.8,2.1,1
236,141,2,1/15/2021 0:41,1/15/2021 0:45,6,1,1,5,0.5,0.5,0.88,0,0.3,9.68,2.5,0.1,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,30.7,4.3,6.7,83.3,0.7,6.5,2.7,0
75,230,2,1/15/2021 1:24,1/15/2021 1:33,5,3.66,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,14.1,28.4,44,19.7,23.4,11.1,1.8,1
236,140,2,1/15/2021 0:06,1/15/2021 0:10,2,1.19,1,5.5,0.5,0.5,2,0,0.3,11.3,2.5,0.215053763,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,17.5,5.8,10.7,70,3.2,13.5,2.6,30.7,4.3,6.7,83.3,0.7,6.5,2.7,1
263,70,2,1/15/2021 0:50,1/15/2021 1:09,1,7.92,1,24.5,0.5,0.5,5.66,0,0.3,33.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.3,17.3,60.7,5.3,21.6,11.1,1.3,17.3,8.7,10.7,75,2.5,9.4,2.4,1
49,48,2,1/15/2021 1:42,1/15/2021 2:10,1,7.6,1,26,0.5,0.5,5.96,0,0.3,35.76,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.3,22,21.1,52.8,5.5,17.5,3.2,9.7,17.8,11.4,44.8,33.5,6.4,3.9,1
88,237,2,1/15/2021 0:12,1/15/2021 0:26,2,7.61,1,22,0.5,0.5,5.16,0,0.3,30.96,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,7,17,7.4,66.5,2.4,19.9,3.9,1
48,186,1,1/15/2021 1:13,1/15/2021 1:18,1,1.2,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5,0.199029126,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,13.3,22,21.1,52.8,5.5,17.5,3.2,0
113,144,2,1/15/2021 2:22,1/15/2021 2:26,1,0.84,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5,0.2,12:00 AM - 3:59 AM,12:00 AM - 3:59 AM,13.3,14.4,6.3,66.2,2.2,21.5,3.8,16.4,8.4,6,80,2.1,8.5,3.4,0
230,186,2,1/15/2021 7:11,1/15/2021 7:16,6,1.24,1,6,0,0.5,1.86,0,0.3,11.16,2.5,0.2,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,14.4,15.1,9.8,61.5,4.5,20.8,3.3,0
170,249,2,1/15/2021 7:49,1/15/2021 8:01,1,2.41,1,10.5,0,0.5,2.76,0,0.3,16.56,2.5,0.2,4:00 AM - 7:59 AM,8:00 AM - 11:59 AM,16.4,8.4,6,80,2.1,8.5,3.4,15.5,13.6,9.2,62.5,4.6,19.8,3.9,1
246,186,1,1/15/2021 7:53,1/15/2021 8:00,1,0.8,1,6,2.5,0.5,0,0,0.3,9.3,2.5,0,4:00 AM - 7:59 AM,8:00 AM - 11:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,13.2,11.7,13.9,62.4,5.3,15.6,2.7,0
140,75,2,1/15/2021 7:08,1/15/2021 7:20,1,2.18,1,10,0,0.5,2.66,0,0.3,15.96,2.5,0.2,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,14.1,28.4,44,19.7,23.4,11.1,1.8,17.5,5.8,10.7,70,3.2,13.5,2.6,1
13,238,2,1/15/2021 7:57,1/15/2021 8:12,5,6.25,1,19.5,0,0.5,3.42,0,0.3,26.22,2.5,0.15,4:00 AM - 7:59 AM,8:00 AM - 11:59 AM,20.3,11.7,16.6,67.3,5.9,7.3,2.8,7,17,7.4,66.5,2.4,19.9,3.9,0
141,100,1,1/15/2021 7:59,1/15/2021 8:12,1,2.2,1,10.5,2.5,0.5,2,0,0.3,15.8,2.5,0.144927536,4:00 AM - 7:59 AM,8:00 AM - 11:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,17.5,5.8,10.7,70,3.2,13.5,2.6,0
244,41,2,1/15/2021 7:40,1/15/2021 7:55,2,3.47,1,13.5,0,0.5,1,0,0.3,15.3,0,0.06993007,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,10.1,36.2,20.5,21,49.6,5.7,3.2,13.3,30,70.8,13.9,10.2,3.6,1.6,0
186,230,1,1/15/2021 5:10,1/15/2021 5:12,1,0.9,1,4.5,3,0.5,1.65,0,0.3,9.95,2.5,0.198795181,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,14.4,15.1,9.8,61.5,4.5,20.8,3.3,0
211,68,2,1/15/2021 4:17,1/15/2021 4:27,2,2.52,1,9.5,0.5,0.5,5,0,0.3,18.3,2.5,0.37593985,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,13.2,11.7,13.9,62.4,5.3,15.6,2.7,13.3,14.4,6.3,66.2,2.2,21.5,3.8,1
224,50,2,1/15/2021 7:23,1/15/2021 7:39,1,3.93,1,15,0,0.5,3.66,0,0.3,21.96,2.5,0.2,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,13.3,22,21.1,52.8,5.5,17.5,3.2,16.1,8.7,8.2,72.2,4.8,11.8,3.1,1
246,237,1,1/15/2021 7:33,1/15/2021 7:47,1,3,1,12.5,2.5,0.5,3.15,0,0.3,18.95,2.5,0.199367089,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,30.7,4.3,6.7,83.3,0.7,6.5,2.7,13.2,11.7,13.9,62.4,5.3,15.6,2.7,0
246,79,2,1/15/2021 6:45,1/15/2021 6:55,1,2.13,1,9,0,0.5,2,0,0.3,14.3,2.5,0.162601626,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,10.7,17.4,12.4,64.9,6.7,13.7,2.3,13.2,11.7,13.9,62.4,5.3,15.6,2.7,0
161,100,2,1/15/2021 5:12,1/15/2021 5:16,1,0.94,1,5.5,0.5,0.5,3,0,0.3,12.3,2.5,0.322580645,4:00 AM - 7:59 AM,4:00 AM - 7:59 AM,14.4,15.1,9.8,61.5,4.5,20.8,3.3,14.4,15.1,9.8,61.5,4.5,20.8,3.3,1
